job,release,stage,drafter,pm,job_name,days_stale,fab_hrs,fab_order
440,279,Released,CBA,RL,Evergreen - Outlook Green Valley Ranch,42.57262597001157,6.7,80.555
410,132,Store at MHMW for shipping,CBA,RL,Lennar - Columnbine Square,38.183698409189816,36.3,2.0
450,193,Store at MHMW for shipping,CBA,DR,Marrow - Sandstone Ranch,29.177531026284722,32.8,2.0
510,151,Hold,DCR,RL,W.E. O'Neill - Idaho Springs Police Dept.,21.944749283587964,5.5,80.555
190,398,Store at MHMW for shipping,DCR,GA,Hinton - Metro Center,18.20056680511574,12.5,2.0
170,463,Welded QC,DCR,RL,Garrett -Banyan High Point,18.020012424768517,7.9,24.0
440,439,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,17.263365253425928,6.0,27.0
170,457,Store at MHMW for shipping,FMW,RL,Garrett -Banyan High Point,17.119471572835646,67.5,2.0
170,451,Store at MHMW for shipping,FMW,RL,Garrett -Banyan High Point,17.119366415208333,45.6,2.0
550,480,Cut start,DCR,DR,New Generation Construction - 4th St. North,17.105401916458334,5.0,9.0
170,461,Welded QC,DCR,RL,Garrett -Banyan High Point,16.939642638599537,7.5,20.0
170,425,Welded QC,DCR,RL,Garrett -Banyan High Point,15.98003840670139,23.3,16.0
170,448,Welded QC,DCR,RL,Garrett -Banyan High Point,15.97995971082176,7.8,13.0
170,453,Welded QC,DCR,RL,Garrett -Banyan High Point,15.971699207002315,1.5,30.0
450,314,Welded QC,DCR,DR,Marrow - Sandstone Ranch,15.967838089722223,26.0,7.0
450,316,Welded QC,DCR,DR,Marrow - Sandstone Ranch,15.967751875046295,39.6,9.0
450,301,Welded QC,DCR,DR,Marrow - Sandstone Ranch,15.967338460960649,16.0,4.0
450,300,Welded QC,DCR,DR,Marrow - Sandstone Ranch,15.967251294386575,45.0,4.0
370,244,Welded QC,DCR,GA,Fairfield Development - Vista Highlands,15.966823956782408,10.0,21.0
500,338,Welded QC,DCR,GA,Brinkman - Novel Flatiron,15.96656351599537,38.8,17.0
370,262,Welded QC,DCR,GA,Fairfield Development - Vista Highlands,15.966202504224537,5.0,10.0
370,261,Welded QC,DCR,GA,Fairfield Development - Vista Highlands,15.966063529548611,5.0,11.0
