Job ,Release,Name,Description
170,287,Garrett -Banyan High Point,Building 2 Canopy
170,285,Garrett -Banyan High Point,Building 1 Canopy
170,295,Garrett -Banyan High Point,Building 6 Canopy
170,293,Garrett -Banyan High Point,Building 5 Canopy
170,289,Garrett -Banyan High Point,Building 3 Canopy
170,860,Garrett -Banyan High Point,Leasing Clubhouse Rails
170,866,Garrett -Banyan High Point,Bld 2 Balcony Rail
170,167,Garrett -Banyan High Point,Bld 4 Exterior North Stair
170,146,Garrett -Banyan High Point,Bld 6 Stair A
170,141,Garrett -Banyan High Point,Bld 3 Stair B
170,130,Garrett -Banyan High Point,Bld 2 Stair A
170,131,Garrett -Banyan High Point,Bld 2 Stair B
170,129,Garrett -Banyan High Point,Bld 1 Stair B
170,128,Garrett -Banyan High Point,Bld 1 Stair A
170,147,Garrett -Banyan High Point,Bld 6 Stair B
170,132,Garrett -Banyan High Point,Bld 3 Stair A
170,144,Garrett -Banyan High Point,Bld 5 Stair A
170,145,Garrett -Banyan High Point,Bld 5 Stair B
190,903,Hinton - Metro Center,Bld 3 Stoop Stringers
190,881,Hinton - Metro Center,Pool Fence
190,168,Hinton - Metro Center,Bld 4 Ramp Rail
190,122,Hinton - Metro Center,Bld 2 Interior Ramp Rails
190,337,Hinton - Metro Center,Stair Core 5B
190,320,Hinton - Metro Center,Stair Core 5A
190,278,Hinton - Metro Center,Stair Core 4A
190,176,Hinton - Metro Center,Stair Core 5C
190,167,Hinton - Metro Center,Stair Core 4B
320,115,Thompson Thrift - Landing at Lemay,Building 16 North Stair
320,888,Thompson Thrift - Landing at Lemay,Building 14 Patio & Balcony Ultralox Rails P1 of 2
320,843,Thompson Thrift - Landing at Lemay,CO#05 Balcony Gates
330,858,Brinkmann - Aspendale Littleton Senior,Wood Ultralox Balcony Rails P1 of 10
330,879,Brinkmann - Aspendale Littleton Senior,Concrete Ultralox Balcony Rails P1 of 3
330,V295,Brinkmann - Aspendale Littleton Senior,Balcony Ultralox Saddles
330,628,Brinkmann - Aspendale Littleton Senior,Stair Core 1
330,653,Brinkmann - Aspendale Littleton Senior,Stair Core 4
330,603,Brinkmann - Aspendale Littleton Senior,Stair Core 3
330,615,Brinkmann - Aspendale Littleton Senior,Stair Core 2
340,419,AMLI - Littleton Village II,Garage Bollards
340,415,AMLI - Littleton Village II,Structural Framing at Leasing Fireplace
340,887,AMLI - Littleton Village II,CMU Wall Atachment Angles
340,117,AMLI - Littleton Village II,Commercial Awnings
370,568,Fairfield Development - Vista Highlands,Bld 10 Ultralox Remainder Balcony Rails
370,570,Fairfield Development - Vista Highlands,Bld 11 Ultralox Remainder Balcony Rails
370,139,Fairfield Development - Vista Highlands,Bld 14 Trash Enclosure Gates
380,778,Brinkman - Marshall Pointe,Roof Canopy
380,112,Brinkman - Marshall Pointe,Garage Pipe Protection
380,864,Brinkman - Marshall Pointe,North Courtyard Balcony Rails P1 of 4
380,542,Brinkman - Marshall Pointe,Bollards - Drop Shipped
380,109,Brinkman - Marshall Pointe,Garage Rails
385,184,Brinkmann - Gallary @ Fort Collins,Barrier Gate
400,364,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 1 Stair Core 1
400,372,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 2 Stair Core 4
400,368,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 2 Stair Core 3
400,336,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 3 Stair Core 5
400,367,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 1 Stair Core 2
400,340,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 3 Stair Core 6
410,108,Lennar - Columnbine Square,Bld 1 Stair 3
410,106,Lennar - Columnbine Square,Bld 1 Stair 1
410,107,Lennar - Columnbine Square,Bld 1 Stair 2
410,878,Lennar - Columnbine Square,Bldg 2 Structural Steel Columns and Beams pt1
410,679,Lennar - Columnbine Square,HD Embeds Bld 4 Install
410,681,Lennar - Columnbine Square,HD Embeds Bld 5 Install
410,683,Lennar - Columnbine Square,HD Embeds Bld 6 Install
410,676,Lennar - Columnbine Square,HD Embeds Bld 2 Install
410,697,Lennar - Columnbine Square,Bld 3 Stair 1
410,699,Lennar - Columnbine Square,Bld 3 Stair 3
410,698,Lennar - Columnbine Square,Bld 3 Stair 2
420,142,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Hoist Beams
440,761,Evergreen - Outlook Green Valley Ranch,Shade Structure A
440,756,Evergreen - Outlook Green Valley Ranch,Shade Structure B
440,670,Evergreen - Outlook Green Valley Ranch,Bld 10 Stair Core 1 Type A2
440,758,Evergreen - Outlook Green Valley Ranch,Planter Trellis
440,687,Evergreen - Outlook Green Valley Ranch,Bld 9 Stair Core 2 Type B2
440,686,Evergreen - Outlook Green Valley Ranch,Bld 9 Stair Core 1 Type B2
440,660,Evergreen - Outlook Green Valley Ranch,Bld 8 Stair Core 2 Type B2
440,659,Evergreen - Outlook Green Valley Ranch,Bld 8 Stair Core 1 Type B2
440,176,Evergreen - Outlook Green Valley Ranch,Bld 2&5 Stair Wings
440,105,Evergreen - Outlook Green Valley Ranch,Bld 2 Ultralox Remaing Install P1 of 2
440,907,Evergreen - Outlook Green Valley Ranch,Bld 5 Ultralox Remaing Install P1 of 2
440,177,Evergreen - Outlook Green Valley Ranch,West Trash Enclosure - Buildings 2 & 5.xls
440,162,Evergreen - Outlook Green Valley Ranch,East Trash Enclosure - Buildings 2 & 5
440,209,Evergreen - Outlook Green Valley Ranch,Bld 9 Ultralox Post install
440,210,Evergreen - Outlook Green Valley Ranch,Bld 10 Ultralox Post install
440,211,Evergreen - Outlook Green Valley Ranch,Bld 11 Ultralox Post install
440,212,Evergreen - Outlook Green Valley Ranch,Bld 12 Ultralox Post install
440,237,Evergreen - Outlook Green Valley Ranch,Breeze Way Gate
440,160,Evergreen - Outlook Green Valley Ranch,Pool Fence
440,657,Evergreen - Outlook Green Valley Ranch,Bld 7 Stair Core 1 Type B1
440,626,Evergreen - Outlook Green Valley Ranch,Bld 5 Stair Core 2 Type B2
440,625,Evergreen - Outlook Green Valley Ranch,Bld 5 Stair Core 1 Type B2
440,623,Evergreen - Outlook Green Valley Ranch,Bld 2 Stair Core 1 Type B1
440,624,Evergreen - Outlook Green Valley Ranch,Bld 2 Stair Core 2 Type B1 (reliance treads)
440,656,Evergreen - Outlook Green Valley Ranch,Bld 6 Stair Core 2 Type B1
440,655,Evergreen - Outlook Green Valley Ranch,Bld 6 Stair Core 1 Type B1
440,658,Evergreen - Outlook Green Valley Ranch,Bld 7 Stair Core 2 Type B1
450,815,Marrow - Sandstone Ranch,Bld C Stair #3
