Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
160,872,160-872,Brinkmann - Wind Crest RB3.5,Site Rail Extensions CO #7,Shipping completed,COMPLETE,,,X,X
160,V603,160-V603,Brinkmann - Wind Crest RB3.5,Additional post for Carlo ,Shipping completed,COMPLETE,X,,X,X
170,128,170-128,Garrett -Banyan High Point,Bld 1 Stair A,Shipping completed,COMPLETE,90,0.9,X,X
170,129,170-129,Garrett -Banyan High Point,Bld 1 Stair B,Shipping completed,COMPLETE,0.9,0.9,X,X
170,130,170-130,Garrett -Banyan High Point,Bld 2 Stair A,Shipping completed,COMPLETE,0.9,0.9,X,X
170,131,170-131,Garrett -Banyan High Point,Bld 2 Stair B,Shipping completed,COMPLETE,0.9,0.9,X,X
170,132,170-132,Garrett -Banyan High Point,Bld 3 Stair A,Shipping completed,COMPLETE,0.9,0.9,X,X
170,141,170-141,Garrett -Banyan High Point,Bld 3 Stair B,Shipping completed,COMPLETE,0.9,0.9,X,X
170,142,170-142,Garrett -Banyan High Point,Bld 4 Stair A,Shipping completed,COMPLETE,0.9,X,X,X
170,143,170-143,Garrett -Banyan High Point,Bld 4 Stair B,Shipping completed,COMPLETE,0.9,X,X,X
170,144,170-144,Garrett -Banyan High Point,Bld 5 Stair A,Shipping completed,COMPLETE,0.9,0.9,X,X
170,145,170-145,Garrett -Banyan High Point,Bld 5 Stair B,Shipping completed,COMPLETE,0.9,0.9,X,X
170,146,170-146,Garrett -Banyan High Point,Bld 6 Stair A,Shipping completed,COMPLETE,0.9,0.9,X,X
170,147,170-147,Garrett -Banyan High Point,Bld 6 Stair B,Shipping completed,COMPLETE,0.9,0.9,X,X
170,167,170-167,Garrett -Banyan High Point,Bld 4 Exterior North Stair,Shipping completed,COMPLETE,,,X,X
170,168,170-168,Garrett -Banyan High Point,Replacement Canopy Decking,Shipping completed,COMPLETE,,,X,X
170,284,170-284,Garrett -Banyan High Point,Building 1 Canopy Plates,Shipping completed,COMPLETE,O,X,X,X
170,285,170-285,Garrett -Banyan High Point,Building 1 Canopy,Shipping completed,COMPLETE,,M,X,X
170,286,170-286,Garrett -Banyan High Point,Building 2 Canopy Plates,Shipping completed,COMPLETE,O,X,X,X
170,287,170-287,Garrett -Banyan High Point,Building 2 Canopy,Shipping completed,COMPLETE,,M,X,X
170,288,170-288,Garrett -Banyan High Point,Building 3 Canopy Plates,Shipping completed,COMPLETE,,M,X,X
170,289,170-289,Garrett -Banyan High Point,Building 3 Canopy,Shipping completed,COMPLETE,,M,X,X
170,292,170-292,Garrett -Banyan High Point,Building 5 Canopy Plates,Shipping completed,COMPLETE,,M,X,X
170,293,170-293,Garrett -Banyan High Point,Building 5 Canopy,Shipping completed,COMPLETE,,M,X,X
170,294,170-294,Garrett -Banyan High Point,Building 6 Canopy Plates,Shipping completed,COMPLETE,,M,X,X
170,520,170-520,Garrett -Banyan High Point,Bld 4 Balcony Rails,Shipping completed,COMPLETE,0.99,0.9,X,X
170,641,170-641,Garrett -Banyan High Point,Trash Pipe Bollards,Shipping completed,COMPLETE,O,X,X,X
170,839,170-839,Garrett -Banyan High Point,Amenity Spiral Remaining Rails,Shipping completed,COMPLETE,,,X,X
170,842,170-842,Garrett -Banyan High Point,Bld 1 Balcony Rail,Shipping completed,COMPLETE,O,MFP,X,X
170,865,170-865,Garrett -Banyan High Point,Amenity Spiral Cane Rails,Shipping completed,COMPLETE,,,X,X
170,866,170-866,Garrett -Banyan High Point,Bld 2 Balcony Rail,Shipping completed,COMPLETE,,,X,X
170,905,170-905,Garrett -Banyan High Point,Bld 4 Exterior Stair Rail,Shipping completed,COMPLETE,,,X,X
190,122,190-122,Hinton - Metro Center,Bld 2 Interior Ramp Rails,Shipping completed,COMPLETE,,,X,X
190,167,190-167,Hinton - Metro Center,Stair Core 4B,Shipping completed,COMPLETE,0.9,0.9,X,X
190,168,190-168,Hinton - Metro Center,Bld 4 Ramp Rail,Shipping completed,COMPLETE,,MFP,X,X
190,170,190-170,Hinton - Metro Center,Pool Fence pt2,Shipping completed,COMPLETE,,,X,X
190,278,190-278,Hinton - Metro Center,Stair Core 4A,Shipping completed,COMPLETE,0.9,0.9,X,X
190,341,190-341,Hinton - Metro Center,Bld 2 Stoop SE Corner,Shipping completed,COMPLETE,,,X,X
190,390,190-390,Hinton - Metro Center,Bld 3 Balcony Guardrail,Shipping completed,COMPLETE,0.9,0.9,X,X
190,404,190-404,Hinton - Metro Center,Pool Fence pt3,Shipping completed,COMPLETE,,,X,X
190,461,190-461,Hinton - Metro Center,Bld 4 Roof Access Ladder,Shipping completed,COMPLETE,O,X,X,X
190,587,190-587,Hinton - Metro Center,Bld 4 Balcony Rails,Shipping completed,COMPLETE,0.7,MFP,X,X
