Job #,Release #,Job,Description,Fab Hrs,Install HRS,Paint color,PM,BY,Released,Fab Order,Cut start,Fitup comp,Welded,Paint Comp,Ship,Start install,Comp. ETA,Job Comp,Invoiced,Notes
170,295,Garrett -Banyan High Point,Building 6 Canopy,0,16,Red Oxide Primed,RL,CBA,6/19,1,X,X,X,X,X,4/7,4/8,90%,MFP,
170,123,Garrett -Banyan High Point,Bld 6 Balcony Rails,105.5,93.8,Railing Black,RL,DCR,11/14,1,X,X,X,X,X,2/25,3/4,50%,MFP,Powdered Waiting On Hardware
170,405,Garrett -Banyan High Point,Bld 1 Garage Rails,123.5,114,Railing Black,RL,DCR,2/27,1,X,X,X,X,X,4/7,4/16,75%,MFP,
170,627,Garrett -Banyan High Point,Light String Posts,12,16,Railing Black,RL,DCR,7/29,1,X,X,X,X,X,4/7,4/8,O,MFP,QC Done
170,457,Garrett -Banyan High Point,Pool Courtyard Trellis,67.5,68.5,Red Oxide Primed,RL,FMW,6/3,2,X,X,X,X,O,4/7,4/13,,MFP,QC Done
170,436,Garrett -Banyan High Point,Bld 1 North Exterior Stair Rail,14.1,13.7,Railing Black,RL,DCR,3/11,2,X,X,X,X,RS,4/7,4/7,,M,QC Done
170,451,Garrett -Banyan High Point,Trellis B,45.6,46.6,Red Oxide Primed,RL,FMW,6/3,2,X,X,X,X,O,4/7,4/9,,MFP,QC Done Embeds on site
170,412,Garrett -Banyan High Point,Bld 2 Garage Rails,151.4,140.1,Railing Black,RL,DCR,3/4,13,X,X,X,O,,4/7,4/17,,MF,
170,448,Garrett -Banyan High Point,Bld 3 West Exterior Stair Rail,7.8,7.5,Railing Black,RL,DCR,3/10,14,X,X,X,O,,4/7,4/7,,MF,Qc done
170,456,Garrett -Banyan High Point,Bld 6 East Exterior Stair Rail,3.5,3.5,Railing Black,RL,DCR,3/13,15,X,X,X,O,,4/7,4/7,,MF,
