Job #,Release #,Job,Description,Fab Hrs,Install HRS,Paint color,PM,BY,Released,Fab Order,Cut start,Fitup comp,Welded,Paint Comp,Ship
170,287,Garrett -Banyan High Point,Building 2 Canopy,0,8,Red Oxide Primed,RL,CBA,6/19,1,X,X,X,X,X
170,285,Garrett -Banyan High Point,Building 1 Canopy,0,13.3,Red Oxide Primed,RL,CBA,6/19,1,X,X,X,X,X
170,295,Garrett -Banyan High Point,Building 6 Canopy,0,16,Red Oxide Primed,RL,CBA,6/19,1,X,X,X,X,X
170,293,Garrett -Banyan High Point,Building 5 Canopy,0,16,Red Oxide Primed,RL,CBA,6/19,1,X,X,X,X,X
170,289,Garrett -Banyan High Point,Building 3 Canopy,0,16,Red Oxide Primed,RL,CBA,6/19,1,X,X,X,X,X
170,860,Garrett -Banyan High Point,Leasing Clubhouse Rails,14,8,Railing Black,RL,DCR,11/5,1,X,X,X,X,X
170,866,Garrett -Banyan High Point,Bld 2 Balcony Rail,225,200,Railing Black,RL,DCR,10/23,1,X,X,X,X,X
170,167,Garrett -Banyan High Point,Bld 4 Exterior North Stair,13.8,13.8,Railing Black,RL,DCR,12/1,1,X,X,X,X,X
170,146,Garrett -Banyan High Point,Bld 6 Stair A,38.7,38.1,Red Oxide Primed,RL,DCR,12/6,1,X,X,X,X,X
170,141,Garrett -Banyan High Point,Bld 3 Stair B,38.7,38.1,Red Oxide Primed,RL,DCR,12/6,1,X,X,X,X,X
170,130,Garrett -Banyan High Point,Bld 2 Stair A,38.7,38.1,Red Oxide Primed,RL,DCR,12/6,1,X,X,X,X,X
170,131,Garrett -Banyan High Point,Bld 2 Stair B,38.7,38.1,Red Oxide Primed,RL,DCR,12/6,1,X,X,X,X,X
170,129,Garrett -Banyan High Point,Bld 1 Stair B,60.8,60.1,Red Oxide Primed,RL,DCR,12/5,1,X,X,X,X,X
170,128,Garrett -Banyan High Point,Bld 1 Stair A,58.1,57.3,Red Oxide Primed,RL,DCR,12/5,1,X,X,X,X,X
