Job #,Release #,Job,Description,Fab Hrs,Install HRS,Paint color,PM,BY,Released,Fab Order,Cut start,Fitup comp,Welded,Paint Comp,Ship,Start install,Comp. ETA,Job Comp,Invoiced,Notes,start_install_formula,start_install_formulaTF
320,843,Thompson Thrift - Landing at Lemay,CO#05 Balcony Gates,21.0,20.0,Factory Black,DR,CBA,2025-10-09,1.0,X,X,X,X,X,2026-03-05,2026-03-06,0.75,,At shop,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
320,245,Thompson Thrift - Landing at Lemay,Building 17 Patio & Balcony Ultralox Rails Sheet 1 of 2,10.0204,116.6204,Factory Black,DR,CBA,2026-01-20,1.0,X,X,X,X,X,2026-03-05,2026-03-16,0.5,,1st Target 2nd week of feb install,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
320,888,Thompson Thrift - Landing at Lemay,Building 14 Patio & Balcony Ultralox Rails P1 of 2,5.978400000000001,69.5784,Factory Black,DR,CBA,2025-11-06,1.0,X,X,X,X,X,2026-03-05,2026-03-11,0.95,0.85,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
340,419,AMLI - Littleton Village II,Garage Bollards,18.0,18.0,Safety Yellow,DR,DCR,2025-05-14,1.0,X,X,X,X,X,2026-03-05,2026-03-06,O,MFP,Waiting on concrete,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
340,117,AMLI - Littleton Village II,Commercial Awnings,116.0,336.0,Red Oxide Primed,DR,DCR,2025-12-02,1.0,X,X,X,X,X,2026-01-08,2026-02-06,0.95,MFP, decking is here,,False
340,225,AMLI - Littleton Village II,Roof Amenity Trellis,17.2,18.7,Primed Finish ,DR,RJA,2026-01-13,1.0,X,X,X,X,X,2026-03-05,2026-03-06,0.75,,QC Done,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
530,901,Shaw - East Oak Townhomes,Structural Steel Columns and Beams,75.8,117.9,Red Oxide Prime,DR,DTS,2025-11-07,1.0,X,X,X,X,X,2025-12-05,2025-12-16,0.5,0.5,6 moment frames 100% complete,,False
190,168,Hinton - Metro Center,Bld 4 Ramp Rail,23.5,22.0,Railing Black,GA,DCR,2025-06-03,1.0,X,X,X,X,X,2026-03-05,2026-03-06,0.5,MFP,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
190,881,Hinton - Metro Center,Pool Fence,64.875,64.875,Railing Black,GA,DCR,2025-12-02,1.0,X,X,X,X,X,2025-12-21,2025-12-25,0.9,MFP,HOT,,False
190,236,Hinton - Metro Center,Bld 5 Roof Access Ladder,0.0,6.5,Red Oxide Primed,GA,DCR,2025-12-23,1.0,X,X,X,X,X,2026-03-05,2026-03-05,O,,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
190,167,Hinton - Metro Center,Stair Core 4B,64.178,63.400000000000006,Red Oxide Primed,GA,DCR,2024-12-23,1.0,X,X,X,X,X,2026-03-05,2026-03-10,0.9,0.9,All but WHR,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
190,278,Hinton - Metro Center,Stair Core 4A,63.928399999999996,61.650000000000006,Red Oxide Primed,GA,DCR,2025-02-28,1.0,X,X,X,X,X,2026-03-05,2026-03-10,0.9,0.9,All but WHR,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
190,320,Hinton - Metro Center,Stair Core 5A,83.804,82.65,Red Oxide Primed,GA,DCR,2025-03-18,1.0,X,X,X,X,X,2026-03-05,2026-03-12,0.9,0.9,All but WHR,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
190,337,Hinton - Metro Center,Stair Core 5B,83.804,82.65,Red Oxide Primed,GA,DCR,2025-03-28,1.0,X,X,X,X,X,2026-03-05,2026-03-12,0.9,0.9,All but WHR,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
370,568,Fairfield Development - Vista Highlands,Bld 10 Ultralox Remainder Balcony Rails,10.710414,50.315664,Factory Black,GA,CBA,2025-12-17,1.0,X,X,X,X,X,2026-03-05,2026-03-10,0.9,X,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
370,847,Fairfield Development - Vista Highlands,Bld 4 Stair 2 Rails,10.0,8.0,Railing Black ,GA,DCR,2025-10-23,1.0,X,X,X,X,X,2026-03-05,2026-03-05,O,MFP,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
370,850,Fairfield Development - Vista Highlands,Bld 5 Stair 1 Rails,5.0,4.0,Railing Black,GA,DCR,2025-10-20,1.0,X,X,X,X,X,2026-03-05,2026-03-05,O,MFP,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
370,851,Fairfield Development - Vista Highlands,Bld 5 Stair 2 Rails,5.0,4.0,Railing Black,GA,DCR,2025-10-20,1.0,X,X,X,X,X,2026-03-05,2026-03-05,O,MFP,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
370,263,Fairfield Development - Vista Highlands,Festoon Light Poles,19.25,22.0,Railing Black,GA,RJA,2026-01-08,1.0,X,X,X,X,X,2026-03-05,2026-03-06,O,MFP,Ready to ship,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
370,570,Fairfield Development - Vista Highlands,Bld 11 Ultralox Remainder Balcony Rails,10.068525000000001,48.093525,Factory Black,GA,CBA,2025-12-17,1.0,X,X,X,X,X,2026-03-05,2026-03-10,0.5,MFP,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
370,216,Fairfield Development - Vista Highlands,Bld 4 Trash Enclosure Gates,9.0,16.0,Primed Finish ,GA,RJA,2025-12-18,1.0,X,X,X,X,X,2026-03-05,2026-03-06,O,,QC Done,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
380,109,Brinkman - Marshall Pointe,Garage Rails,10.3125,10.0,Powder Coated Railing Black ,GA,RJA,2025-11-19,1.0,X,X,X,X,X,2026-03-05,2026-03-05,0.9,MFP,QC Done,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
380,778,Brinkman - Marshall Pointe,Roof Canopy,37.5629,84.36456799999999,Primed Finish ,GA,RJA,2025-11-07,1.0,X,X,X,X,X,2025-12-03,2025-12-10,0.9,MFP,Painted Waiting On Clevis Assembly,,False
380,592,Brinkman - Marshall Pointe,Garage Screens,34.5,23.0,Railing Black,GA,CBA,2025-08-12,1.0,X,X,X,X,X,2026-03-05,2026-03-06,0.9,MF,QC Done Railing Black,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
380,864,Brinkman - Marshall Pointe,North Courtyard Balcony Rails P1 of 4,26.2362,131.06119999999999,Factory Black,GA,CBA,2025-10-27,1.0,X,X,X,X,X,2025-11-17,2025-11-27,0.75,0.5,,,False
500,186,Brinkman - Novel Flatiron,Hold Down Embed Install,0.0,87.5,RAW,GA,DCR,2025-12-09,1.0,X,X,X,X,X,2026-03-05,2026-03-12,O,,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
170,289,Garrett -Banyan High Point,Building 3 Canopy,0.0,16.0,Red Oxide Primed,RL,CBA,2025-06-19,1.0,X,X,X,X,X,2026-03-05,2026-03-06,O,MFP,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
170,295,Garrett -Banyan High Point,Building 6 Canopy,0.0,16.0,Red Oxide Primed,RL,CBA,2025-06-19,1.0,X,X,X,X,X,2026-03-05,2026-03-06,O,MFP,,"=WORKDAY(Table1[[#This Row],[Projected fab comp]],3,)",True
