job,release,db_stage,trello_list
170,280,Cut start,Shipping completed
170,451,Paint complete,Store at MHMW for shipping
170,454,Hold,Released
170,457,Paint complete,Store at MHMW for shipping
170,461,Fit Up Complete.,Released
170,462,Welded,Released
170,463,Fit Up Complete.,Released
190,236,Store at MHMW for shipping,Shipping completed
190,396,Shipping planning,Shipping completed
190,398,Paint complete,Shipping planning
190,876,Welded,Shipping completed
300,272,Released,Shipping completed
320,118,Paint complete,Shipping completed
320,226,Cut start,Shipping completed
320,228,Cut start,Shipping completed
320,288,Released,Shipping completed
330,145,Paint complete,Shipping completed
330,325,Hold,Released
340,164,Released,Fit Up Complete.
340,241,Paint complete,Shipping completed
340,265,Paint complete,Shipping completed
370,202,Paint complete,Store at MHMW for shipping
370,205,Paint complete,Fit Up Complete.
370,217,Paint complete,Store at MHMW for shipping
370,218,Paint complete,Store at MHMW for shipping
370,243,Paint complete,Store at MHMW for shipping
370,497,Paint complete,Store at MHMW for shipping
370,500,Paint complete,Store at MHMW for shipping
370,501,Paint complete,Store at MHMW for shipping
370,502,Paint complete,Store at MHMW for shipping
370,507,Paint complete,Store at MHMW for shipping
370,509,Paint complete,Store at MHMW for shipping
370,534,Paint complete,Store at MHMW for shipping
370,847,Paint complete,Shipping completed
380,233,Cut start,Shipping completed
380,266,Released,Shipping completed
380,268,Welded,Shipping completed
380,514,Paint complete,Store at MHMW for shipping
380,542,Paint complete,Shipping planning
380,V606,Welded,Released
400,V347,Paint complete,Shipping completed
410,136,Paint complete,Store at MHMW for shipping
410,137,Paint complete,Store at MHMW for shipping
410,138,Paint complete,Store at MHMW for shipping
420,220,Released,Shipping completed
420,221,Released,Shipping completed
420,222,Released,Shipping completed
440,174,Paint complete,Shipping completed
440,270,Cut start,Shipping completed
440,271,Released,Store at MHMW for shipping
440,322,Released,Shipping completed
440,334,Released,Store at MHMW for shipping
440,335,Released,Store at MHMW for shipping
440,336,Released,Store at MHMW for shipping
440,444,Welded,Released
440,476,Fit Up Complete.,Released
440,482,Fit Up Complete.,Released
470,323,Released,Shipping completed
480,274,Released,Shipping completed
480,275,Released,Shipping completed
480,432,Paint complete,Shipping planning
500,154,Paint complete,Store at MHMW for shipping
500,338,Welded,Released
510,151,Hold,Released
530,287,Cut start,Shipping completed
540,124,Paint complete,Shipping completed
900,192,Paint complete,Shipping completed
900,V983,Paint complete,Shipping completed
